Empresa;Activos;Ingresos;Utilidad Neta
Comercializadora la bonanza sas;28.505.470;168.508.250;3.627.709
No encontrado;28.505.470;168.508.250;3.627.709
No encontrado;No encontrado;No encontrado;No encontrado
Aguirre toro el aguila descalza sas;7.519.616;3.735.036;346.831
No encontrado;7.519.616;3.735.036;346.831
Pantitex sas;7.915.435;362.976;199.430
No encontrado;7.915.435;362.976;199.430
Odensa sas;2.517.905;6.464.432;417.429
No encontrado;2.517.905;6.464.432;417.429
Salexda sas;29.025.304;4.324.341;6.594.189
No encontrado;29.025.304;4.324.341;6.594.189
Silver sas;28.686.935;25.247.725;1.330.807
No encontrado;28.686.935;25.247.725;1.330.807
Inverplanes ltda;4.546.886;107.264;19.262
No encontrado;4.546.886;107.264;19.262
Confecciones monthelier s.a.s;10.324.395;7.867.886;230.574
No encontrado;10.324.395;7.867.886;230.574
Escamval y cia s en c.a.;36.926.101;1.899.088;297.626
No encontrado;36.926.101;1.899.088;297.626
Inversiones casa brava sas en reorganizacion;2.203.973;4.749.702;573.141
No encontrado;2.203.973;4.749.702;573.141
Curvilco del oriente sas;22.352.960;32.662.682;3.932.514
No encontrado;22.352.960;32.662.682;3.932.514
No encontrado;No encontrado;No encontrado;No encontrado
Holding minero sas en reorganizacion;324.259.538;3.000.065;18.207.679
No encontrado;324.259.538;3.000.065;18.207.679
Padilla lopez sas;7.231.575;137.491;697.794
No encontrado;7.231.575;137.491;697.794
Hidrolab colombia ltda;13.373.275;6.821.075;131.226
No encontrado;13.373.275;6.821.075;131.226
Tintexa sas;8.624.409;7.919.448;173.843
No encontrado;8.624.409;7.919.448;173.843
Inversiones cadena ballesteros sas;43.980.513;4.202.419;226.378
No encontrado;43.980.513;4.202.419;226.378
Distritubos y paneles sas;3.266.249;9.098.734;85.975
No encontrado;3.266.249;9.098.734;85.975
Prolacteos jr sas;11.363.840;38.667.806;504.260
No encontrado;11.363.840;38.667.806;504.260
Inversiones decaillet quintana & cia s en c;4.532.347;899.907;72.492
No encontrado;4.532.347;899.907;72.492
Ingeal s.a.;14.700.121;8.606.284;572.236
No encontrado;14.700.121;8.606.284;572.236
Demcautos s.a.;55.227.448;71.118.531;1.583.310
No encontrado;55.227.448;71.118.531;1.583.310
