Empresa;Activos;Ingresos;Utilidad Neta
Ingenieros servicios constructivos sas;13.283.672;2.495.661;24.429
No encontrado;13.283.672;2.495.661;24.429
Construcciones industriales y servicios super sas;21.091.663;11.615.843;166.730
No encontrado;21.091.663;11.615.843;166.730
Cereria el sagrado corazon ltd;5.741.062;12.200.295;939.640
No encontrado;5.741.062;12.200.295;939.640
Inversiones schlegel donado sas;7.553.038;240.000;46.798
No encontrado;7.553.038;240.000;46.798
Avicola el madroño sa;269.282.309;671.474.091;13.721.039
No encontrado;269.282.309;671.474.091;13.721.039
Zr ingenieria sa;5.947.948;83.268;138.775
No encontrado;5.947.948;83.268;138.775
Pelanas sas;3.870.829;4.244.334;13.971
No encontrado;3.870.829;4.244.334;13.971
Pardentales ltda;8.451.537;12.181.444;936.407
No encontrado;8.451.537;12.181.444;936.407
Acomedios publicidad y mercadeo sas;19.875.686;36.192.957;3.719.186
No encontrado;19.875.686;36.192.957;3.719.186
Inversiones losfalk s.a.s;20.791.189;1.342.740;305.944
No encontrado;20.791.189;1.342.740;305.944
No encontrado;No encontrado;No encontrado;No encontrado
Rivera correa y cruz y compañia limitada;1.950.640;6.321.097;10.393
No encontrado;1.950.640;6.321.097;10.393
Compañia promotora nueva gran américa sas compañia promotora nueva gran américa sas;20.547.199;124.649;527.444
No encontrado;20.547.199;124.649;527.444
Suplementos y aditivos s.a.;4.785.508;3.524.119;404.610
No encontrado;4.785.508;3.524.119;404.610
Petrosantander colombia gmbh;514.068.379;208.981.353;95.081.209
No encontrado;514.068.379;208.981.353;95.081.209
Distribuciones industriales alipar & compania limitada;6.757.967;5.478.446;733.166
No encontrado;6.757.967;5.478.446;733.166
Procter & gamble colombia ltda;695.923.808;1.396.438.988;8.123.222
No encontrado;695.923.808;1.396.438.988;8.123.222
Mocer sas;1.471.501;2.719.560;15.042
No encontrado;1.471.501;2.719.560;15.042
Distribuidora de drogas la rebaja principal sa;9.026.216;5.879.193;3.085.357
No encontrado;9.026.216;5.879.193;3.085.357
Maya y bedoya ltda;5.049.967;17.945.807;401.195
No encontrado;5.049.967;17.945.807;401.195
Agropecuaria vargas vallejo y cia sas - en reorganizacion;62.187.699;14.009.055;1.549.266
No encontrado;62.187.699;14.009.055;1.549.266
No encontrado;No encontrado;No encontrado;No encontrado
Inveersiones conavel y asociados sas;5.339.518;442.832;14.323
No encontrado;5.339.518;442.832;14.323
Inversiones urapanes s.a.s.;33.996.751;0;1.258.315
No encontrado;33.996.751;0;1.258.315
Danador sas;231.338.054;133.172;19.372
No encontrado;231.338.054;133.172;19.372
La casa de la tractomula ltda;7.444.527;9.604.819;729.981
No encontrado;7.444.527;9.604.819;729.981
Rojas serrano diaz sas;1.998.348;1.002.553;17.374
No encontrado;1.998.348;1.002.553;17.374
Productos rank sas;3.137.975;1.179.240;93.393
No encontrado;3.137.975;1.179.240;93.393
Knightsbridge schools international bogota sas;26.629.717;4.903.278;2.607.301
No encontrado;26.629.717;4.903.278;2.607.301
Colsein sas;18.786.910;27.063.634;2.933.218
No encontrado;18.786.910;27.063.634;2.933.218
Gimnasio fontana sa;45.518.500;26.872.096;2.737.293
No encontrado;45.518.500;26.872.096;2.737.293
Optica iris sas bic;3.796.458;3.544.101;57.405
No encontrado;3.796.458;3.544.101;57.405
No encontrado;No encontrado;No encontrado;No encontrado
Inversiones buenos aires ltda;4.199.544;1.533.418;39.113
No encontrado;4.199.544;1.533.418;39.113
Agroindustrial san jose limitada.;3.258.633;670.002;8.739
No encontrado;3.258.633;670.002;8.739
Variadores sas;70.420.886;104.362.516;15.021.130
No encontrado;70.420.886;104.362.516;15.021.130
Constructora digamma sas;19.623.925;329.440;1.725.815
No encontrado;19.623.925;329.440;1.725.815
Energex s.a;12.728.041;11.597.518;303.718
No encontrado;12.728.041;11.597.518;303.718
Instituto triangulo s.a.;6.323.980;3.250.269;479.292
No encontrado;6.323.980;3.250.269;479.292
Laboratorios veterland ltda;17.210.483;26.824.445;1.358.726
No encontrado;17.210.483;26.824.445;1.358.726
Constructora a cruz sas;20.692.343;14.151.570;835.313
No encontrado;20.692.343;14.151.570;835.313
Itelca sas;40.515.241;43.290.363;1.864.101
No encontrado;40.515.241;43.290.363;1.864.101
Meltec sa;20.647.507;2.062.574;61.281
No encontrado;20.647.507;2.062.574;61.281
No encontrado;No encontrado;No encontrado;No encontrado
Mz autoservicios s.a;4.466.780;6.466.934;208.494
No encontrado;4.466.780;6.466.934;208.494
Garcia agudelo e hijos s.a.s.;7.725.529;642.425;138.032
No encontrado;7.725.529;642.425;138.032
Vj cardiosistemas sas;22.404.259;24.762.287;2.765.310
No encontrado;22.404.259;24.762.287;2.765.310
Intergrafic de occidente sas;101.362.604;87.541.883;1.735.963
No encontrado;101.362.604;87.541.883;1.735.963
Suministros industriales y asesorias sas;13.598.573;22.870.836;191.337
No encontrado;13.598.573;22.870.836;191.337
Rueda garzon sas;2.556.874;11.049.346;570.251
No encontrado;2.556.874;11.049.346;570.251
Diego mejia jaramillo sas;7.778.798;122.187;182.754
No encontrado;7.778.798;122.187;182.754
Multijuegos sas;20.650.873;21.711.633;3.321.898
No encontrado;20.650.873;21.711.633;3.321.898
R&r lubricantes sas;149.433.428;119.197.221;15.879.795
No encontrado;149.433.428;119.197.221;15.879.795
Inversiones san carlos s.a.s.;2.647.752;411.017;1.999
No encontrado;2.647.752;411.017;1.999
No encontrado;No encontrado;No encontrado;No encontrado
Diseños y construcciones sas;172.692.874;260.787.661;1.171.253
No encontrado;172.692.874;260.787.661;1.171.253
Restrepo estrada s.a.s.;3.982.627;11.504.043;88.378
No encontrado;3.982.627;11.504.043;88.378
Lm constructores sas;73.782.935;997.369;2.373.383
No encontrado;73.782.935;997.369;2.373.383
Diconsultoria;3.452.971;1.137.168;336.851
No encontrado;3.452.971;1.137.168;336.851
Vr ingenieria y mercadeo sas;55.592.869;49.246.263;3.102.893
No encontrado;55.592.869;49.246.263;3.102.893
Tobar y tobar sas;11.444.648;1.393.885;4.864
No encontrado;11.444.648;1.393.885;4.864
Suiphar international s.a.;10.355.429;6.473.370;1.405.422
No encontrado;10.355.429;6.473.370;1.405.422
Flores el zorro sas;8.580.766;19.598.079;785.359
No encontrado;8.580.766;19.598.079;785.359
Sary s.a.s;35.697.617;85.498.357;8.267.271
No encontrado;35.697.617;85.498.357;8.267.271
Integral de distribuciones y servicios sas;10.708.124;18.402.062;1.279.179
No encontrado;10.708.124;18.402.062;1.279.179
No encontrado;No encontrado;No encontrado;No encontrado
Comercializadora marden ltda;30.755.922;30.355.152;460.425
No encontrado;30.755.922;30.355.152;460.425
Arrendamientos del sur sas;2.772.377;3.616.004;47.859
No encontrado;2.772.377;3.616.004;47.859
Mil herrajes sa;20.580.259;13.914.971;15.105
No encontrado;20.580.259;13.914.971;15.105
Quisansol limitada;2.112.160;5.290.981;357.976
No encontrado;2.112.160;5.290.981;357.976
Importadora celeste sa;39.872.716;78.985.683;2.962.229
No encontrado;39.872.716;78.985.683;2.962.229
Riorion sa;15.695.704;18.854.063;913.822
No encontrado;15.695.704;18.854.063;913.822
Promotora montecarlo s.a.s;1.907.188;85.714;5.519
No encontrado;1.907.188;85.714;5.519
Postelectras dishierros sas;9.803.632;14.153.936;587.200
No encontrado;9.803.632;14.153.936;587.200
Concreareans;1.056.275;820.926;25.347
No encontrado;1.056.275;820.926;25.347
Industrias inversiones y servicios delrio sas;51.534.920;94.770.629;6.458.341
No encontrado;51.534.920;94.770.629;6.458.341
No encontrado;No encontrado;No encontrado;No encontrado
Proelasticos sas;17.511.855;26.025.374;1.418.128
No encontrado;17.511.855;26.025.374;1.418.128
De moda sas;48.853.522;107.787.778;2.067.202
No encontrado;48.853.522;107.787.778;2.067.202
Kamle bustos sas;3.235.964;59.389;9.572
No encontrado;3.235.964;59.389;9.572
Inversiones de capital inmobiliario;17.869.957;1.097.032;244.688
No encontrado;17.869.957;1.097.032;244.688
Distribuciones clinicas sociedades anonimas disclinica sa;11.942.198;3.855.119;200.563
No encontrado;11.942.198;3.855.119;200.563
Quinberlab;52.578.596;66.296.545;676.429
No encontrado;52.578.596;66.296.545;676.429
Prohesa sas en reorganizacion;14.164.198;9.409.465;702.342
No encontrado;14.164.198;9.409.465;702.342
Arquimuebles sas;9.186.333;2.703.449;461.122
No encontrado;9.186.333;2.703.449;461.122
Rx sa;63.622.957;53.211.625;3.629.003
No encontrado;63.622.957;53.211.625;3.629.003
Confecciones millar s.a.s;36.091.538;51.514.201;1.831.182
No encontrado;36.091.538;51.514.201;1.831.182
No encontrado;No encontrado;No encontrado;No encontrado
Mipko constructores s.a.s.;127.678.032;54.546.480;4.250.021
No encontrado;127.678.032;54.546.480;4.250.021
Agroinsuvet sa;7.726.480;11.634.544;510.868
No encontrado;7.726.480;11.634.544;510.868
Organizacion amc sas;7.650.244;427.661;18.880
No encontrado;7.650.244;427.661;18.880
Perea y cia sas;39.630.105;37.311.612;5.083.219
No encontrado;39.630.105;37.311.612;5.083.219
Marca zeta s.a.s.;17.315.028;9.152.376;212.157
No encontrado;17.315.028;9.152.376;212.157
Pinzuar sas;11.384.575;12.237.809;384.948
No encontrado;11.384.575;12.237.809;384.948
Montoya fayad sas;4.989.300;1.156.468;109.218
No encontrado;4.989.300;1.156.468;109.218
Comercializadora sotincol sas;5.319.952;562.835;400.035
No encontrado;5.319.952;562.835;400.035
Walter bridge y cia sa;19.925.593;21.367.020;3.231.452
No encontrado;19.925.593;21.367.020;3.231.452
Jourdan y compañia sociedad en comandita;7.546.604;607.678;291.269
No encontrado;7.546.604;607.678;291.269
No encontrado;No encontrado;No encontrado;No encontrado
Colegas sas;28.084.015;109.550.784;502.803
No encontrado;28.084.015;109.550.784;502.803
Sapuga s.a.;145.148.629;111.620.390;4.201.793
No encontrado;145.148.629;111.620.390;4.201.793
Altalene sas;34.696.914;51.630.169;3.111.955
No encontrado;34.696.914;51.630.169;3.111.955
Grupo posso sas;12.253.557;8.254.183;307.087
No encontrado;12.253.557;8.254.183;307.087
Textiles blondatex sas;4.470.649;4.491.737;10.235
No encontrado;4.470.649;4.491.737;10.235
Laboratorios aurofarma sas;31.162.620;75.378.715;4.503.439
No encontrado;31.162.620;75.378.715;4.503.439
Almacenes hj sas;12.570.030;22.434.477;296.770
No encontrado;12.570.030;22.434.477;296.770
Hidroyunda sas;16.340.906;25.632.684;1.673.074
No encontrado;16.340.906;25.632.684;1.673.074
Diper diseñadores ltda;4.443.305;10.208.502;44.529
No encontrado;4.443.305;10.208.502;44.529
Sanchez blanco y cia sas;19.559.431;2.567.913;2.442.061
No encontrado;19.559.431;2.567.913;2.442.061
No encontrado;No encontrado;No encontrado;No encontrado
Inversiones llano hermoso sas;13.304.688;10.454.869;3.138.298
No encontrado;13.304.688;10.454.869;3.138.298
Inversiones correa echandia y cia s.en c;15.252.435;1.292.923;639.259
No encontrado;15.252.435;1.292.923;639.259
Commerk sas;284.759.666;555.167.356;36.185.181
No encontrado;284.759.666;555.167.356;36.185.181
Distribuidora electrojapones sas;13.682.886;18.001.151;454.401
No encontrado;13.682.886;18.001.151;454.401
Electricos importados sas eimpsa;37.386.793;53.693.130;245.927
No encontrado;37.386.793;53.693.130;245.927
Avinsa sas;19.551.307;28.849.290;1.931.181
No encontrado;19.551.307;28.849.290;1.931.181
Palmeras la cabaña gutierrez y cia s en c;10.943.002;7.813.070;847.319
No encontrado;10.943.002;7.813.070;847.319
Inversiones las pilas s.a.s;11.100.213;8.219.780;207.589
No encontrado;11.100.213;8.219.780;207.589
Agricola el refugio s.a.s;131.566;0;3.018
No encontrado;131.566;0;3.018
Inessman ltda;4.881.045;2.732.879;123.394
No encontrado;4.881.045;2.732.879;123.394
No encontrado;No encontrado;No encontrado;No encontrado
Inverobras sas;14.204.837;3.267.435;92.264
No encontrado;14.204.837;3.267.435;92.264
Orlando murra & compañia s. en c.;13.486.441;7.531.280;155.675
No encontrado;13.486.441;7.531.280;155.675
800008801;25.569.291;21.563.581;2.067.016
No encontrado;25.569.291;21.563.581;2.067.016
Direcciones creativas s a s;10.178.789;30.901;108.000
No encontrado;10.178.789;30.901;108.000
Randys ltda;4.765.792;15.336.130;239.965
No encontrado;4.765.792;15.336.130;239.965
Vera inversiones san carlos sas;14.767.391;1.011.102;318.839
No encontrado;14.767.391;1.011.102;318.839
Urbanizacion marbella s.a.;27.177.839;522.936;219.782
No encontrado;27.177.839;522.936;219.782
Muebles albura sas;10.871.237;10.219.364;156.834
No encontrado;10.871.237;10.219.364;156.834
Mundiastur s.a.s.;2.541.593;1.000.818;16.459
No encontrado;2.541.593;1.000.818;16.459
Procesos especiales de lavado para la confeccion sas;4.086.454;8.777.539;34.525
No encontrado;4.086.454;8.777.539;34.525
No encontrado;No encontrado;No encontrado;No encontrado
Palmeras san antonio s.a.;43.104.511;2.205.446;111.664
No encontrado;43.104.511;2.205.446;111.664
Corporacioninternacional terranova sa;10.477.533;62.394;643.038
No encontrado;10.477.533;62.394;643.038
Luvaga sas;8.304.052;13.552.253;1.246.894
No encontrado;8.304.052;13.552.253;1.246.894
Fruticola apulo ltda;5.185.043;159.864;41.162
No encontrado;5.185.043;159.864;41.162
Diseños interventorias y servicios s.a.s.;12.695.145;3.805.377;320.948
No encontrado;12.695.145;3.805.377;320.948
Alyc sas;106.251.232;7.202.311;2.392.253
No encontrado;106.251.232;7.202.311;2.392.253
Castillo gutierrez sas;7.495.976;7.128.493;142.156
No encontrado;7.495.976;7.128.493;142.156
De todo para el hogar s.a.;26.296.409;14.162.605;496.005
No encontrado;26.296.409;14.162.605;496.005
Cobrico sasventa de apartamentosf4111 - construcción de edificios residenciales01. anual1987-05-28activa08. sociedad por acciones simplificada sas07. actividad económica diferente a las anteriores;9.976.633;81.841;109.210
No encontrado;9.976.633;81.841;109.210
Productos juliao sas;8.534.051;9.915.562;204.539
No encontrado;8.534.051;9.915.562;204.539
No encontrado;No encontrado;No encontrado;No encontrado
Autoservcio el perdomo sas;67.122.226;87.679.957;20.652.197
No encontrado;67.122.226;87.679.957;20.652.197
Luis estrada y cia suceres sas;7.458.849;14.286.447;2.241.282
No encontrado;7.458.849;14.286.447;2.241.282
Puntepiedra s.a.;7.609.138;2.752.210;309.346
No encontrado;7.609.138;2.752.210;309.346
Construcciones e inversiones atique sas;19.960.213;0;670.667
No encontrado;19.960.213;0;670.667
Hl gestiones y co sa en reorganizacion;5.611.529;54.649;58.896
No encontrado;5.611.529;54.649;58.896
Compañia pecuaria agricola s.a.s.;32.641.817;12.551.495;1.866.407
No encontrado;32.641.817;12.551.495;1.866.407
Norcarbon sociedad por acciones simplificada;162.940.813;11.728.554;12.322.201
No encontrado;162.940.813;11.728.554;12.322.201
Foto del oriente ltda en reorganizacion;22.834.186;11.725.500;692.855
No encontrado;22.834.186;11.725.500;692.855
Tecnas s.a;128.666.319;186.826.473;12.573.646
No encontrado;128.666.319;186.826.473;12.573.646
Alciautos sas;104.457.120;147.394.283;2.043.283
No encontrado;104.457.120;147.394.283;2.043.283
No encontrado;No encontrado;No encontrado;No encontrado
Rimoplasticas s.a.;37.950.587;57.405.125;1.434.948
No encontrado;37.950.587;57.405.125;1.434.948
Construcciones buendia y lopez sas;83.197.621;29.935.530;1.088.014
No encontrado;83.197.621;29.935.530;1.088.014
Suministro materias colorantes s.a.;33.068.246;37.216.233;1.890.401
No encontrado;33.068.246;37.216.233;1.890.401
Disbohios sas;40.457.659;2.149.853;832.173
No encontrado;40.457.659;2.149.853;832.173
Visbal moreno y sucesores sas;6.312.850;8.063.367;392.799
No encontrado;6.312.850;8.063.367;392.799
Ingenieria y contratos sas;41.844.112;19.119.246;1.131.398
No encontrado;41.844.112;19.119.246;1.131.398
Alfazeta sas;26.178.338;3.114.822;812.406
No encontrado;26.178.338;3.114.822;812.406
Renteria y cia sca;5.020.356;2.518.194;206.132
No encontrado;5.020.356;2.518.194;206.132
Acrilinea sas;7.642.894;10.272.821;3.380.561
No encontrado;7.642.894;10.272.821;3.380.561
Centro nacional de consultoria s.a;15.979.228;35.655.338;898.117
No encontrado;15.979.228;35.655.338;898.117
No encontrado;No encontrado;No encontrado;No encontrado
Digital estereo sas;1.887.233;403.965;203.899
No encontrado;1.887.233;403.965;203.899
Tenaris tubocaribe ltda;1.707.998.124;1.672.584.823;121.410.962
No encontrado;1.707.998.124;1.672.584.823;121.410.962
Ital styl sas;1.769.233;1.874.218;80.267
No encontrado;1.769.233;1.874.218;80.267
Amaral diseño sas;4.997.913;844.528;180.412
No encontrado;4.997.913;844.528;180.412
Mundial de filtros y aceites sas;15.944.305;26.439.626;2.794.852
No encontrado;15.944.305;26.439.626;2.794.852
Compañia palmicultora del llano sa;10.317.730;10.406.603;636.870
No encontrado;10.317.730;10.406.603;636.870
Freimanautos sa;4.532.594;903.227;18.699
No encontrado;4.532.594;903.227;18.699
Agrogan limitada;19.833.909;4.478.125;433.295
No encontrado;19.833.909;4.478.125;433.295
Serviarevalo integral & cia sas;1.274.945;9.188.921;5.458
No encontrado;1.274.945;9.188.921;5.458
Qbco sas;460.191.195;529.064.352;9.771.899
No encontrado;460.191.195;529.064.352;9.771.899
No encontrado;No encontrado;No encontrado;No encontrado
Swissandina turismo sas en proceso de reorganización abreviado;1.003.277;2.531.259;296.874
No encontrado;1.003.277;2.531.259;296.874
Felix garcia sas;4.975.687;175.000;11.802
No encontrado;4.975.687;175.000;11.802
Fundicion de aluminio y cobre a presion sas;8.032.287;611.650;2.311.470
No encontrado;8.032.287;611.650;2.311.470
Doricolor indulit sas;47.087.021;61.149.741;3.348.373
No encontrado;47.087.021;61.149.741;3.348.373
Climatec servicios sas;12.202.779;11.181.216;836.850
No encontrado;12.202.779;11.181.216;836.850
Moli s.a.s.;12.659.541;35.846.013;2.304.517
No encontrado;12.659.541;35.846.013;2.304.517
Todo aseo sas;23.168.633;36.732.845;25.867
No encontrado;23.168.633;36.732.845;25.867
Trilladoras de las cooperativas de caficultores de caldas ltda;14.794.537;32.807.906;180.975
No encontrado;14.794.537;32.807.906;180.975
Sofan ingenieria sas;31.262.923;39.544.678;2.176.761
No encontrado;31.262.923;39.544.678;2.176.761
Agrodec sas;9.886.149;4.998.856;182.557
No encontrado;9.886.149;4.998.856;182.557
No encontrado;No encontrado;No encontrado;No encontrado
Bernardo aparicio e hijos sas;10.679.490;0;247.382
No encontrado;10.679.490;0;247.382
Cargomaster s.a.s.;6.345.806;163.295;5.999.639
No encontrado;6.345.806;163.295;5.999.639
Renovadora de llantas sa;35.350.401;25.378.910;3.747.509
No encontrado;35.350.401;25.378.910;3.747.509
J y robledo sas;32.417.277;0;263.451
No encontrado;32.417.277;0;263.451
Microfertisa s a s;31.511.379;47.975.213;2.886.500
No encontrado;31.511.379;47.975.213;2.886.500
Maba s.a.s.;20.550.664;3.189.444;1.326.927
No encontrado;20.550.664;3.189.444;1.326.927
Electroingenierias upegui sas;11.199.547;17.412.134;668.860
No encontrado;11.199.547;17.412.134;668.860
Flores sagaro sa;47.990.395;57.176.686;2.043.783
No encontrado;47.990.395;57.176.686;2.043.783
Lopez roma y cia sas;4.396.348;303.456;62.239
No encontrado;4.396.348;303.456;62.239
Super agro sas;4.573.394;13.349.521;241.949
No encontrado;4.573.394;13.349.521;241.949
No encontrado;No encontrado;No encontrado;No encontrado
Palmeras de yarima s.a..;156.349.118;56.284.759;3.235.652
No encontrado;156.349.118;56.284.759;3.235.652
Laboratorios la santé s.a;487.290.766;296.426.985;887.069
No encontrado;487.290.766;296.426.985;887.069
Ecomarket sas;18.818.049;17.175.455;1.179.808
No encontrado;18.818.049;17.175.455;1.179.808
Inversiones alfonso garcia y asociados sas;12.377.414;402.253;251.879
No encontrado;12.377.414;402.253;251.879
Confecciones toval sa;14.623.540;18.790.075;1.736.360
No encontrado;14.623.540;18.790.075;1.736.360
Yamavalle ltda;5.829.876;26.691.465;1.349.308
No encontrado;5.829.876;26.691.465;1.349.308
Estyma estudios y manejos s.a.;191.370.973;241.207.705;13.048.850
No encontrado;191.370.973;241.207.705;13.048.850
Laboratorios natural freshly infabo sas instituto farmacologico botanico sas;114.017.314;110.500.758;11.808.577
No encontrado;114.017.314;110.500.758;11.808.577
Ducon s.a.s.;15.352.430;19.974.299;91.410
No encontrado;15.352.430;19.974.299;91.410
Compañia namufacturera onix sa;5.001.393;7.477.453;176.970
No encontrado;5.001.393;7.477.453;176.970
No encontrado;No encontrado;No encontrado;No encontrado
Construcciones gamo ltda;3.946.570;706.500;45.247
No encontrado;3.946.570;706.500;45.247
Rubiano lopez y cia s en c;28.312.755;2.340.568;447.973
No encontrado;28.312.755;2.340.568;447.973
Esguerra y gomez sas;3.677.020;1.704.017;45.945
No encontrado;3.677.020;1.704.017;45.945
Compurent sas;46.644.156;38.039.876;1.417.226
No encontrado;46.644.156;38.039.876;1.417.226
Colsof sas;153.232.885;309.728.285;8.205.837
No encontrado;153.232.885;309.728.285;8.205.837
Quimica basica sas;30.249.533;52.928.222;5.335.802
No encontrado;30.249.533;52.928.222;5.335.802
Marpico s.a.s.;148.255.042;124.284.154;16.886.673
No encontrado;148.255.042;124.284.154;16.886.673
Iinvermont sas;5.192.769;861.657;620.734
No encontrado;5.192.769;861.657;620.734
B&c s.a.;5.615.871;8.393.338;692.297
No encontrado;5.615.871;8.393.338;692.297
Leones futbol club sa;4.937.950;5.097.740;60.380
No encontrado;4.937.950;5.097.740;60.380
No encontrado;No encontrado;No encontrado;No encontrado
Contabler s.a.;4.473.426;13.252.960;92.411
No encontrado;4.473.426;13.252.960;92.411
Inversiones garcia castellanos limitada;5.062.718;347.847;50.875
No encontrado;5.062.718;347.847;50.875
Metalquimica colombiana limitada;3.350.116;6.063.690;817.747
No encontrado;3.350.116;6.063.690;817.747
Inversiones arcila wohlmuth y cia s en c;16.535.614;285.816;2.690.127
No encontrado;16.535.614;285.816;2.690.127
Ilva pico de trillos y cia sca;6.267.405;365.894;19.526
No encontrado;6.267.405;365.894;19.526
Iinversiones casa imperial sas;11.527.272;1.159.081;722.853
No encontrado;11.527.272;1.159.081;722.853
Juimanca sas;19.380.024;2.679.659;14.004
No encontrado;19.380.024;2.679.659;14.004
Racyma & cia. ltda.;3.196.409;873.057;9.220
No encontrado;3.196.409;873.057;9.220
Construcciones civiles y pavimentos s.a.s;15.251.370;21.399.124;218.887
No encontrado;15.251.370;21.399.124;218.887
Inversiones dinastia sas;26.726.130;3.003.699;195.500
No encontrado;26.726.130;3.003.699;195.500
No encontrado;No encontrado;No encontrado;No encontrado
Tahami &cultiflores a en reorganizacion;29.467.497;2.689.437;1.136.002
No encontrado;29.467.497;2.689.437;1.136.002
Simma sas;4.670.280;1.588.252;93.150
No encontrado;4.670.280;1.588.252;93.150
Inparme sas;40.870.687;25.950.036;1.627.034
No encontrado;40.870.687;25.950.036;1.627.034
Ci amoblamientos y decoraciones antioquia sas;477.629;447.278;82.827
No encontrado;477.629;447.278;82.827
Inversiones quirigua ltda;6.384.546;11.553.360;119.632
No encontrado;6.384.546;11.553.360;119.632
Equiser sas;6.173.143;386.286;115.861
No encontrado;6.173.143;386.286;115.861
Amortiautos sas;806.535;1.768.478;47.260
No encontrado;806.535;1.768.478;47.260
Francisco martinez sas;2.763.193;1.310.175;129.353
No encontrado;2.763.193;1.310.175;129.353
Ici inversiones & construcciones industrializadas sas;201.920.663;565.938;2.959.048
No encontrado;201.920.663;565.938;2.959.048
Casa de los mineros sas en reorganizacion;6.758.668;14.343.866;385.915
No encontrado;6.758.668;14.343.866;385.915
No encontrado;No encontrado;No encontrado;No encontrado
Especial impresores sas;24.765.584;9.468.811;417.872
No encontrado;24.765.584;9.468.811;417.872
Inversiones y cobranzas de occidente compañia sas;37.452.154;0;18.025
No encontrado;37.452.154;0;18.025
Coltehilos sas;10.848.952;946.977;84.258
No encontrado;10.848.952;946.977;84.258
Pintu special sas;8.025.221;20.161.252;828.359
No encontrado;8.025.221;20.161.252;828.359
Tevesan s.a.s.;31.455.774;13.071.789;9.871.654
No encontrado;31.455.774;13.071.789;9.871.654
Mosel sas;19.369.729;9.606.333;122.555
No encontrado;19.369.729;9.606.333;122.555
Inversiones y gestiones s a s;38.040.541;0;587.084
No encontrado;38.040.541;0;587.084
Inversiones laurelco s a s;156.672.606;89.682;2.238.796
No encontrado;156.672.606;89.682;2.238.796
Inversiones ceralco s a s;155.504.724;0;2.220.778
No encontrado;155.504.724;0;2.220.778
Construciones laja sas;31.227.367;774.329;4.385
No encontrado;31.227.367;774.329;4.385
No encontrado;No encontrado;No encontrado;No encontrado
Serrano lievano y cia s.a.s.;126.236.709;15.770.076;5.422.791
No encontrado;126.236.709;15.770.076;5.422.791
Serrano gomez y cia sas;96.387.512;6.187.641;674.988
No encontrado;96.387.512;6.187.641;674.988
Bel star s.a.;949.683.500;1.688.172.804;51.468.088
No encontrado;949.683.500;1.688.172.804;51.468.088
Agroquimicos arroceros de colombia sa;70.463.746;31.906.508;341.281
No encontrado;70.463.746;31.906.508;341.281
Consultores internacionales de negocios sas;2.815.397;29.638;574.793
No encontrado;2.815.397;29.638;574.793
Cinte s.a.s. ingenieria de construccion e interventoria s.a.s.;1.863.070;1.535.665;252.429
No encontrado;1.863.070;1.535.665;252.429
Constructora flormorado sas;53.320.401;2.705.665;254.601
No encontrado;53.320.401;2.705.665;254.601
Procomunicacion sas;5.989.865;1.002.831;5.473
No encontrado;5.989.865;1.002.831;5.473
Aqualab sas;18.623.604;29.301.685;2.333.057
No encontrado;18.623.604;29.301.685;2.333.057
Milbus y cia ltda;4.420.522;474.604;32.361
No encontrado;4.420.522;474.604;32.361
No encontrado;No encontrado;No encontrado;No encontrado
Palmeras barbascal sas;7.059.676;1.929.255;68.272
No encontrado;7.059.676;1.929.255;68.272
Interasesores asesores empresariales administrativos sa;115.262.260;61.579.758;2.447.380
No encontrado;115.262.260;61.579.758;2.447.380
Corrugados del darien s.a.s;119.924.622;102.000.063;13.964.451
No encontrado;119.924.622;102.000.063;13.964.451
Representaciones mario correa arango y cia s en c;4.838.197;1.248.285;6.883
No encontrado;4.838.197;1.248.285;6.883
Ingenieria diseños y consultoria tecnica s.a.s.;33.104.946;23.756.229;1.569.237
No encontrado;33.104.946;23.756.229;1.569.237
Symrise ltda;309.086.403;305.622.020;45.917.974
No encontrado;309.086.403;305.622.020;45.917.974
Esgamo ingnieros constructores s.a.s;18.241.473;208.074;749.368
No encontrado;18.241.473;208.074;749.368
La casa del medico sas;34.894.037;36.411.206;2.066.681
No encontrado;34.894.037;36.411.206;2.066.681
Consorcio industrial internacional s.a.;9.248.979;341.607;88.236
No encontrado;9.248.979;341.607;88.236
Creta s.a;40.516.056;860.583;617.054
No encontrado;40.516.056;860.583;617.054
No encontrado;No encontrado;No encontrado;No encontrado
Samgut ltda;2.562.377;58.505;41.649
No encontrado;2.562.377;58.505;41.649
Hotel santa clara sa;89.287.519;103.094.508;22.329.158
No encontrado;89.287.519;103.094.508;22.329.158
Agroindustrial molino sonora ap sas;435.610.284;855.909.078;7.646.639
No encontrado;435.610.284;855.909.078;7.646.639
Flores la conchita ltda;19.684.927;17.286.485;1.786.528
No encontrado;19.684.927;17.286.485;1.786.528
C.i. cultivos miramonte s.a.s. en reorganizacion;34.502.834;44.442.343;778.108
No encontrado;34.502.834;44.442.343;778.108
Inversiones la cartuja villegas sociedad por acciones simplificada;3.915.117;446.637;36.174
No encontrado;3.915.117;446.637;36.174
Cool flix sa;37.368.367;0;45.928
No encontrado;37.368.367;0;45.928
Iinverglo s.a.;6.006.146;1.150.631;477.293
No encontrado;6.006.146;1.150.631;477.293
Inversiones la planeta s en cs;7.792.378;2.599.616;57.036
No encontrado;7.792.378;2.599.616;57.036
Cadena martinez & cia ltda.;13.487.452;1.121.627;92.166
No encontrado;13.487.452;1.121.627;92.166
